Unnamed: 0,"AUT Crop and animal production, hunting and related service activities",AUT Forestry and logging,AUT Fishing and aquaculture,AUT Mining and quarrying,"AUT Manufacture of food products, beverages and tobacco products","AUT Manufacture of textiles, wearing apparel and leather products","AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",AUT Manufacture of paper and paper products,AUT Printing and reproduction of recorded media,AUT Manufacture of coke and refined petroleum products ,AUT Manufacture of chemicals and chemical products ,AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,AUT Manufacture of rubber and plastic products,AUT Manufacture of other non-metallic mineral products,AUT Manufacture of basic metals,"AUT Manufacture of fabricated metal products, except machinery and equipment","AUT Manufacture of computer, electronic and optical products",AUT Manufacture of electrical equipment,AUT Manufacture of machinery and equipment n.e.c.,"AUT Manufacture of motor vehicles, trailers and semi-trailers",AUT Manufacture of other transport equipment,AUT Manufacture of furniture; other manufacturing,"AUT Electricity, gas, steam and air conditioning supply","AUT Water collection, treatment and supply","AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",AUT Construction,AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,"AUT Wholesale trade, except of motor vehicles and motorcycles","AUT Retail trade, except of motor vehicles and motorcycles",AUT Land transport and transport via pipelines,AUT Water transport,AUT Air transport,AUT Warehousing and support activities for transportation,AUT Postal and courier activities,AUT Accommodation and food service activities,AUT Publishing activities,"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",AUT Telecommunications,"AUT Computer programming, consultancy and related activities; information service activities","AUT Financial service activities, except insurance and pension funding","AUT Insurance, reinsurance and pension funding, except compulsory social security",AUT Activities auxiliary to financial services and insurance activities,AUT Real estate activities,AUT Legal and accounting activities; activities of head offices; management consultancy activities,AUT Administrative and support service activities,AUT Public administration and defence; compulsory social security,AUT Education,AUT Human health and social work activities,AUT Other service activities,AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
"AUT Crop and animal production, hunting and related service activities",0.39522565584704406,0.22914393413351897,0.1231648895070316,0.0019907205456636055,0.42293639244294207,0.1255975008468519,0.0006456579502843012,0.0005423544964577012,0.000532954343577901,0.0003052757194793007,0.014473532464536932,0.0042711937716262095,0.010776789150761825,0.0007214163157073017,0.00045140988894440105,0.0004388563403769012,0.0006213385407420014,0.00029505985499910084,0.0002962670353545007,0.000402376136977301,0.0004563747251379011,0.001838085123764305,0.0005760082627392012,0.002329838575470106,0.00044286979627980086,0.0032894695870414083,0.0009667513363915024,0.007359173669927917,0.027685415469239368,0.0012755323395172026,0.0006734006734006014,0.000723258469737302,0.0019063949969739045,0.001229949264592803,0.03851783817915679,0.0005314751387740014,0.014402328047547432,0.0016167156115380037,0.0013237451253980033,0.0008996633517780022,0.0005995756848999012,0.00043656390623950087,0.005867962220678513,0.0018324158258347049,0.009882461662864222,0.0035610335888293086,0.005881307017903712,0.009024829734599718,0.018499368969588446,0.006426276329882117
AUT Forestry and logging,0.00437416629613161,0.04235690903680199,0.0015453562046051036,0.0002458658841257007,2.5198596438178467e-05,3.763784862057295e-05,0.24505202513099444,0.06270973865292714,0.0011103215491206021,0.0002960249401012007,0.014516780071502733,0.00875865051903112,0.0050714301885938125,5.849321478708483e-05,0.00014900908955440035,4.388563403769788e-05,8.876264867743675e-05,4.2151407857022546e-05,4.937783922575561e-05,7.41219199695043e-05,4.1488611376177345e-05,0.008128420880647021,5.9587061662677775e-05,5.5472347035003185e-05,0.0,0.000399818151245801,5.68677256700915e-05,0.00015441123325290036,0.00014503419046740036,0.0002342814501154005,0.0,0.00017129805862200047,0.00022190841234610053,0.00010249577204940023,0.00012054763066500028,0.00020668477618990052,7.398456188808618e-05,0.0001330209047467003,0.00011925631760340028,7.739039585187498e-05,6.149494204101726e-05,0.0001007455168245002,0.00024162197379260053,0.00015205152597350037,0.0002541369451584006,8.890885438601438e-05,9.574220726820143e-05,9.162263689949018e-05,0.00014656190204770036,0.00010200438618860027
AUT Fishing and aquaculture,0.0007447754557581019,0.0,0.016226240148354137,4.75869453146688e-05,0.011071633310024634,0.010162219127554625,4.966599617571839e-05,3.3897156028609274e-05,8.88257239296502e-05,4.6253896890813156e-05,2.8831737977165324e-05,0.00010813148788920024,4.528062668387342e-05,3.899547652472323e-05,1.3147860843040866e-05,3.291422552827341e-05,4.438132433871837e-05,4.2151407857022546e-05,2.4688919612877806e-05,5.294422854964593e-05,4.1488611376177345e-05,0.0016338534433461044,2.9793530831338888e-05,2.7736173517501593e-05,0.0,5.729481295111895e-05,5.68677256700915e-05,0.00034496126577780083,0.005715421431756014,2.603127223504509e-05,0.0,0.0001141987057480003,0.00013112769820450033,5.12478860247016e-05,0.020837519014953648,0.00014763198299270038,4.9323041258724114e-05,4.0929509152861576e-05,8.347942232239773e-05,4.8368997407421854e-05,1.5373735510254315e-05,6.716367788300101e-05,8.197888396536195e-05,0.00010916519813480029,0.00010974095359110025,0.0001684588819945004,6.838729090585818e-05,7.63521974162418e-05,0.000838659772829002,0.00010200438618860027
AUT Mining and quarrying,0.0006002667852378016,0.0001983930165658004,0.0003090712409210007,0.06761311813459189,0.0012000831553682038,0.0008656705182731022,0.001117484913953602,0.0022372122978882047,0.0009326701012613018,0.5383768582503088,0.020023642025141244,0.0025951557093425058,0.000815051280309702,0.0428950241771955,0.2634173919903237,0.0013714260636780037,0.0014202023788389034,0.0023604788399932066,0.0021726249259332053,0.0009318184224737022,0.001161681118532903,0.0009394657299240025,0.05278420545618871,0.0017751151051200046,0.00044286979627980086,0.0015556787255640039,0.0009477954278348023,0.015253858638158636,0.0015685179117225039,0.004078232650157008,0.0003367003367003007,0.0004758279406166012,0.0010187613475892024,0.000922461948444602,0.0014293504778852032,0.0007086335183654019,0.0011344299489506023,0.0014223004430619032,0.0019558036086961047,0.00014510699222220036,0.00010761614857170021,0.0007723822956545015,0.0010916135601703025,0.002448419443881206,0.0011724954515262029,0.0011090209731308026,0.0008343249490514016,0.001649207464190803,0.0011887798721654029,0.0012240526342632032
"AUT Manufacture of food products, beverages and tobacco products",0.05844819919964435,0.009026882253744619,0.0921032297944678,0.004259031605662812,0.21588897498409393,0.08701870601076461,0.002731629789664505,0.004474424595776409,0.0043524604725528075,0.0019426636694141045,0.029538115557605864,0.049902681660899714,0.011455998551019926,0.0027881765715177063,0.0011657769947496029,0.002293024378469706,0.005991478785726914,0.003414264036418809,0.004666205806833811,0.004415548661040411,0.006347757540555116,0.007270647822890219,0.0016386441957236034,0.006185166694402815,0.023029229406554445,0.002239479862741506,0.01226447283618303,0.01709693740102894,0.12971965428146331,0.002420908317859105,0.001414141414141403,0.002702702702702707,0.0026326407101069063,0.007943422333828717,0.3391751097844501,0.004753749852368012,0.00895213198845842,0.008104042812266518,0.007882842593586318,0.003289091823704608,0.00024597976816400046,0.0007891732151252016,0.0029857572475805064,0.006276998892752916,0.0061974759580674145,0.014403234410534234,0.024250133355217248,0.034327947958342264,0.039392582339290896,0.030907329015147682
"AUT Manufacture of textiles, wearing apparel and leather products",0.0016896398399288042,0.005257414938994111,0.01267192087776233,0.0018479597097196053,0.0025387585911464078,0.2363280514885775,0.003277955747597406,0.005762516524863513,0.009282288150648417,0.0005272944245552012,0.0044833352554491095,0.0034602076124567076,0.011931445131200627,0.002749181094992906,0.001262194640931903,0.004256906501656612,0.004926327001597711,0.003034901365705608,0.003110803871222508,0.004754391723758111,0.008961540057254223,0.02940936198023038,0.001420158302960403,0.0011926554612525031,0.01860053144375554,0.0021909038256743055,0.00443568260226711,0.003801144614333309,0.003733287495366909,0.0025944501327594058,0.0011447811447811024,0.0017700799390940047,0.002087956425257205,0.005227284374519511,0.005941276082776014,0.004074642730601111,0.0025894596660830057,0.002629720963071306,0.0024686057743908063,0.0002805401849630007,3.074747102050863e-05,8.395459735375125e-05,0.0007550686681020016,0.0013957550332953034,0.002194819071822505,0.004960178192061812,0.005812919726997911,0.018324527379898033,0.006261450148597416,0.01907482021726935
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.0016785237883503042,0.011010812419402823,0.020244166280327647,0.0023000356902089067,0.001285128418347004,0.009334186457902023,0.18905361444287203,0.012914816446900129,0.006883993604547813,0.0011378458635140027,0.0015280821127897034,0.0019463667820069043,0.006339287735742214,0.0033926064576509075,0.0011657769947496029,0.020746933491321656,0.002884786082016607,0.0022761760242792062,0.003999604977286109,0.0022766018276347056,0.034269592996722394,0.19883996405522472,0.00044690296247000094,0.006129694347367816,0.0026572187776793053,0.03518026069139899,0.0018387231299996046,0.0067316727007510156,0.009094180905980222,0.0024035541363691053,0.0007407407407407016,0.0006471259992386017,0.005779705467016314,0.0035361041357044078,0.0018139548233403044,0.002805007676863107,0.0049076426052430105,0.003090177941041007,0.0010971581219515027,0.0001257593932592003,3.074747102050863e-05,0.00011753643629520023,0.0036674763879240083,0.0006549911888090016,0.001755855257458004,0.003663980683381509,0.015305075704731032,0.002473811196286205,0.005259943817937513,0.0019380833375835052
AUT Manufacture of paper and paper products,0.0021509559804357052,0.0004959825414145011,0.0007726781023025018,0.002212792957132006,0.018606013645039957,0.005758590838947614,0.004916933621396108,0.1899257652282977,0.14367560845620916,0.000416285072017301,0.009918117864144822,0.030222750865051967,0.013199302678349031,0.01318047106535643,0.000841463093954602,0.002589252408224107,0.005947097461388214,0.00404653515427411,0.0033576930673513083,0.002011880684886505,0.002696759739451507,0.0045747896413691124,0.0024331383512260054,0.001081710767182503,0.0070859167404783135,0.0033642019517602087,0.002028282215566505,0.010545958696637724,0.010453204987027426,0.0020998559602936045,0.0014814814814814031,0.004149219642177311,0.0011095420617308026,0.006303489981038214,0.006670302230131116,0.07160151175150598,0.0019235986090902042,0.005065026757666612,0.003685020213945809,0.0013543319274078032,3.074747102050863e-05,0.00013432735576600027,0.0007852714148260017,0.0024835082575674064,0.0028648164726947064,0.007618084996864718,0.01544185028654273,0.021531319671380143,0.003712901518544109,0.009486407915540326
AUT Printing and reproduction of recorded media,0.000833703868385902,0.0016863406408094035,0.0012362849636841028,0.002760042828250708,0.004475900692331413,0.006473709962738516,0.0027564627877523047,0.0442018914613065,0.040548942973885276,0.0003607803957483009,0.005636604774535812,0.007947664359861517,0.006927935882632617,0.005634846357822412,0.0011833074758736029,0.00370833607618541,0.006213385407420515,0.005606137244983915,0.008888011060635923,0.004479081735300011,0.004190349748993911,0.005024099338289313,0.0034957742842104075,0.002107949187330105,0.02081488042515504,0.002890896975207507,0.004075520339689809,0.02166685283623865,0.0394492998071583,0.0020998559602936045,0.0015488215488215034,0.0012561857632280033,0.0009784143635263023,0.022549069850868648,0.008960707212766521,0.04411243651824741,0.02256529137586625,0.018735482814722346,0.02022587146554085,0.004121038579112311,0.00012298988408200023,0.00018470011417820039,0.003171288406028407,0.00811331347566392,0.011794264591214928,0.023106943313586256,0.030651183784005564,0.010368628409125618,0.01972071815332005,0.02585811189881167
AUT Manufacture of coke and refined petroleum products ,0.03598821698532689,0.09661739906755301,0.12393756760933419,0.13452829440456865,0.0031813228003200094,0.003199217132748608,0.011522511112766622,0.011355547269584026,0.005462782021673411,0.0859767435406434,0.052257525083612116,0.005298442906574312,0.03425479408635018,0.015169240368117332,0.00895807585439182,0.007306958067276619,0.005148233623291312,0.005353228797841814,0.004740272565672512,0.004627325575239012,0.007260506990831018,0.004452250633118212,0.015840227225328435,0.05746935152826325,0.26970770593445575,0.010750250664806628,0.02473746066648976,0.005496382834727413,0.0031424074601290077,0.22746993388056896,0.11198653198653223,0.22883517320137092,0.011287068791607827,0.10182954953108202,0.0036623518268706088,0.0033955356088342086,0.003304643764334507,0.028660888784291266,0.003756574004507809,0.0004449947761482011,7.686867755127157e-05,0.0002014910336490004,0.0016136896106865037,0.0030605243048516077,0.00443006902128391,0.017243638337498042,0.004130592370713808,0.012872980484378325,0.0063835850669706155,0.012495537308104232
