Unnamed: 0,"AUT Crop and animal production, hunting and related service activities",AUT Forestry and logging,AUT Fishing and aquaculture,AUT Mining and quarrying,"AUT Manufacture of food products, beverages and tobacco products","AUT Manufacture of textiles, wearing apparel and leather products","AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",AUT Manufacture of paper and paper products,AUT Printing and reproduction of recorded media,AUT Manufacture of coke and refined petroleum products ,AUT Manufacture of chemicals and chemical products ,AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,AUT Manufacture of rubber and plastic products,AUT Manufacture of other non-metallic mineral products,AUT Manufacture of basic metals,"AUT Manufacture of fabricated metal products, except machinery and equipment","AUT Manufacture of computer, electronic and optical products",AUT Manufacture of electrical equipment,AUT Manufacture of machinery and equipment n.e.c.,"AUT Manufacture of motor vehicles, trailers and semi-trailers",AUT Manufacture of other transport equipment,AUT Manufacture of furniture; other manufacturing,"AUT Electricity, gas, steam and air conditioning supply","AUT Water collection, treatment and supply","AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",AUT Construction,AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,"AUT Wholesale trade, except of motor vehicles and motorcycles","AUT Retail trade, except of motor vehicles and motorcycles",AUT Land transport and transport via pipelines,AUT Water transport,AUT Air transport,AUT Warehousing and support activities for transportation,AUT Postal and courier activities,AUT Accommodation and food service activities,AUT Publishing activities,"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",AUT Telecommunications,"AUT Computer programming, consultancy and related activities; information service activities","AUT Financial service activities, except insurance and pension funding","AUT Insurance, reinsurance and pension funding, except compulsory social security",AUT Activities auxiliary to financial services and insurance activities,AUT Real estate activities,AUT Legal and accounting activities; activities of head offices; management consultancy activities,AUT Administrative and support service activities,AUT Public administration and defence; compulsory social security,AUT Education,AUT Human health and social work activities,AUT Other service activities,AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
"AUT Crop and animal production, hunting and related service activities",13695713858142.982,13695713858141.85,13695713858141.707,13695713858141.428,13695713858142.186,13695713858141.777,13695713858141.543,13695713858141.45,13695713858141.436,13695713858141.428,13695713858141.486,13695713858141.475,13695713858141.469,13695713858141.428,13695713858141.422,13695713858141.428,13695713858141.428,13695713858141.424,13695713858141.416,13695713858141.434,13695713858141.428,13695713858141.467,13695713858141.418,13695713858141.43,13695713858141.428,13695713858141.428,13695713858141.428,13695713858141.44,13695713858141.525,13695713858141.424,13695713858141.418,13695713858141.43,13695713858141.424,13695713858141.424,13695713858141.719,13695713858141.434,13695713858141.451,13695713858141.422,13695713858141.424,13695713858141.418,13695713858141.422,13695713858141.416,13695713858141.422,13695713858141.424,13695713858141.43,13695713858141.43,13695713858141.445,13695713858141.479,13695713858141.475,13695713858141.469
AUT Forestry and logging,1859702227982.2766,1859702227983.3557,1859702227982.2751,1859702227982.2705,1859702227982.2732,1859702227982.2747,1859702227982.571,1859702227982.3218,1859702227982.2803,1859702227982.2703,1859702227982.289,1859702227982.2795,1859702227982.2817,1859702227982.2715,1859702227982.27,1859702227982.2747,1859702227982.27,1859702227982.2708,1859702227982.27,1859702227982.2712,1859702227982.2778,1859702227982.331,1859702227982.271,1859702227982.273,1859702227982.2693,1859702227982.2852,1859702227982.2698,1859702227982.271,1859702227982.2712,1859702227982.27,1859702227982.269,1859702227982.2715,1859702227982.2703,1859702227982.2698,1859702227982.2698,1859702227982.2744,1859702227982.271,1859702227982.2703,1859702227982.2688,1859702227982.2666,1859702227982.2673,1859702227982.2668,1859702227982.2693,1859702227982.2678,1859702227982.2683,1859702227982.271,1859702227982.273,1859702227982.2705,1859702227982.2725,1859702227982.27
AUT Fishing and aquaculture,452122408892.6981,452122408892.6969,452122408893.7151,452122408892.6964,452122408892.70746,452122408892.71,452122408892.6966,452122408892.6965,452122408892.6968,452122408892.6964,452122408892.69727,452122408892.6972,452122408892.69684,452122408892.6965,452122408892.69635,452122408892.69653,452122408892.69653,452122408892.6964,452122408892.6962,452122408892.69684,452122408892.6964,452122408892.7065,452122408892.69635,452122408892.6965,452122408892.6965,452122408892.6963,452122408892.69666,452122408892.6968,452122408892.70264,452122408892.69666,452122408892.69635,452122408892.69684,452122408892.6966,452122408892.6966,452122408892.7122,452122408892.69684,452122408892.6969,452122408892.69653,452122408892.6966,452122408892.6964,452122408892.6965,452122408892.6964,452122408892.6963,452122408892.6966,452122408892.6965,452122408892.69666,452122408892.6969,452122408892.69745,452122408892.69775,452122408892.6972
AUT Mining and quarrying,40608556137376.58,40608556137376.7,40608556137376.67,40608556137377.77,40608556137376.56,40608556137376.586,40608556137376.63,40608556137376.58,40608556137376.57,40608556137377.52,40608556137376.734,40608556137376.56,40608556137376.66,40608556137376.79,40608556137377.44,40608556137376.97,40608556137376.73,40608556137376.89,40608556137376.83,40608556137376.72,40608556137376.78,40608556137376.766,40608556137376.734,40608556137376.63,40608556137376.63,40608556137376.66,40608556137376.625,40608556137376.586,40608556137376.54,40608556137376.71,40608556137376.64,40608556137376.79,40608556137376.54,40608556137376.61,40608556137376.53,40608556137376.53,40608556137376.54,40608556137376.58,40608556137376.53,40608556137376.51,40608556137376.516,40608556137376.53,40608556137376.53,40608556137376.53,40608556137376.516,40608556137376.56,40608556137376.52,40608556137376.54,40608556137376.57,40608556137376.55
"AUT Manufacture of food products, beverages and tobacco products",13888187839595.215,13888187839595.146,13888187839595.238,13888187839595.111,13888187839596.44,13888187839595.287,13888187839595.12,13888187839595.115,13888187839595.121,13888187839595.113,13888187839595.17,13888187839595.162,13888187839595.139,13888187839595.113,13888187839595.107,13888187839595.111,13888187839595.115,13888187839595.111,13888187839595.107,13888187839595.12,13888187839595.111,13888187839595.123,13888187839595.107,13888187839595.115,13888187839595.123,13888187839595.104,13888187839595.12,13888187839595.127,13888187839595.22,13888187839595.115,13888187839595.105,13888187839595.12,13888187839595.111,13888187839595.115,13888187839595.543,13888187839595.121,13888187839595.127,13888187839595.113,13888187839595.113,13888187839595.111,13888187839595.113,13888187839595.107,13888187839595.105,13888187839595.115,13888187839595.113,13888187839595.123,13888187839595.135,13888187839595.178,13888187839595.16,13888187839595.16
"AUT Manufacture of textiles, wearing apparel and leather products",1845685203670.9287,1845685203670.9314,1845685203670.9368,1845685203670.9285,1845685203670.9307,1845685203672.092,1845685203670.9321,1845685203670.9321,1845685203670.9368,1845685203670.9285,1845685203670.933,1845685203670.9307,1845685203670.937,1845685203670.9302,1845685203670.9287,1845685203670.932,1845685203670.9314,1845685203670.9312,1845685203670.9312,1845685203670.9336,1845685203670.9368,1845685203670.9526,1845685203670.929,1845685203670.929,1845685203670.9336,1845685203670.9304,1845685203670.9324,1845685203670.929,1845685203670.9307,1845685203670.9304,1845685203670.928,1845685203670.9297,1845685203670.9285,1845685203670.9304,1845685203670.9302,1845685203670.9307,1845685203670.9304,1845685203670.9285,1845685203670.9277,1845685203670.926,1845685203670.9268,1845685203670.926,1845685203670.927,1845685203670.927,1845685203670.9272,1845685203670.93,1845685203670.932,1845685203670.9402,1845685203670.9329,1845685203670.942
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",4743216670407.919,4743216670407.928,4743216670407.934,4743216670407.925,4743216670407.916,4743216670407.931,4743216670409.096,4743216670407.94,4743216670407.926,4743216670407.923,4743216670407.92,4743216670407.919,4743216670407.925,4743216670407.924,4743216670407.924,4743216670407.939,4743216670407.921,4743216670407.922,4743216670407.924,4743216670407.924,4743216670407.953,4743216670408.136,4743216670407.928,4743216670407.933,4743216670407.918,4743216670407.9795,4743216670407.92,4743216670407.923,4743216670407.923,4743216670407.923,4743216670407.919,4743216670407.926,4743216670407.924,4743216670407.919,4743216670407.917,4743216670407.921,4743216670407.922,4743216670407.922,4743216670407.917,4743216670407.913,4743216670407.914,4743216670407.914,4743216670407.924,4743216670407.916,4743216670407.916,4743216670407.924,4743216670407.929,4743216670407.919,4743216670407.926,4743216670407.918
AUT Manufacture of paper and paper products,5502936616518.503,5502936616518.502,5502936616518.502,5502936616518.501,5502936616518.523,5502936616518.518,5502936616518.506,5502936616519.71,5502936616518.681,5502936616518.497,5502936616518.519,5502936616518.536,5502936616518.5205,5502936616518.518,5502936616518.498,5502936616518.502,5502936616518.51,5502936616518.507,5502936616518.503,5502936616518.506,5502936616518.503,5502936616518.507,5502936616518.503,5502936616518.502,5502936616518.506,5502936616518.506,5502936616518.504,5502936616518.514,5502936616518.52,5502936616518.504,5502936616518.5,5502936616518.507,5502936616518.5,5502936616518.509,5502936616518.514,5502936616518.613,5502936616518.516,5502936616518.507,5502936616518.506,5502936616518.5,5502936616518.502,5502936616518.497,5502936616518.498,5502936616518.503,5502936616518.502,5502936616518.509,5502936616518.521,5502936616518.52,5502936616518.509,5502936616518.516
AUT Printing and reproduction of recorded media,7785874874894.313,7785874874894.317,7785874874894.318,7785874874894.318,7785874874894.318,7785874874894.33,7785874874894.319,7785874874894.379,7785874874895.442,7785874874894.315,7785874874894.325,7785874874894.328,7785874874894.325,7785874874894.325,7785874874894.316,7785874874894.32,7785874874894.326,7785874874894.322,7785874874894.322,7785874874894.325,7785874874894.321,7785874874894.32,7785874874894.322,7785874874894.322,7785874874894.33,7785874874894.319,7785874874894.325,7785874874894.334,7785874874894.352,7785874874894.322,7785874874894.317,7785874874894.322,7785874874894.321,7785874874894.338,7785874874894.325,7785874874894.433,7785874874894.386,7785874874894.338,7785874874894.339,7785874874894.327,7785874874894.333,7785874874894.327,7785874874894.327,7785874874894.329,7785874874894.33,7785874874894.338,7785874874894.349,7785874874894.327,7785874874894.338,7785874874894.347
AUT Manufacture of coke and refined petroleum products ,17493833479739.18,17493833479739.305,17493833479739.268,17493833479739.21,17493833479739.16,17493833479739.158,17493833479739.2,17493833479739.154,17493833479739.154,17493833479740.229,17493833479739.225,17493833479739.148,17493833479739.195,17493833479739.184,17493833479739.21,17493833479739.174,17493833479739.15,17493833479739.168,17493833479739.158,17493833479739.152,17493833479739.158,17493833479739.166,17493833479739.16,17493833479739.184,17493833479739.246,17493833479739.158,17493833479739.15,17493833479739.139,17493833479739.135,17493833479739.291,17493833479739.242,17493833479739.377,17493833479739.139,17493833479739.203,17493833479739.135,17493833479739.135,17493833479739.137,17493833479739.162,17493833479739.135,17493833479739.127,17493833479739.13,17493833479739.133,17493833479739.127,17493833479739.133,17493833479739.129,17493833479739.146,17493833479739.133,17493833479739.14,17493833479739.14,17493833479739.145
