,0
"AUT Crop and animal production, hunting and related service activities",783.4
AUT Forestry and logging,0.0
AUT Fishing and aquaculture,0.0
AUT Mining and quarrying,613.2
"AUT Manufacture of food products, beverages and tobacco products",988.2
"AUT Manufacture of textiles, wearing apparel and leather products",156.5
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",452.4
AUT Manufacture of paper and paper products,1433.1
AUT Printing and reproduction of recorded media,20.7
AUT Manufacture of coke and refined petroleum products ,410.7
AUT Manufacture of chemicals and chemical products ,1776.1
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,2.1
AUT Manufacture of rubber and plastic products,185.6
AUT Manufacture of other non-metallic mineral products,5624.5
AUT Manufacture of basic metals,22871.4
"AUT Manufacture of fabricated metal products, except machinery and equipment",287.9
"AUT Manufacture of computer, electronic and optical products",17.9
AUT Manufacture of electrical equipment,234.5
AUT Manufacture of machinery and equipment n.e.c.,144.1
"AUT Manufacture of motor vehicles, trailers and semi-trailers",158.2
AUT Manufacture of other transport equipment,10.5
AUT Manufacture of furniture; other manufacturing,113.7
AUT Repair and installation of machinery and equipment,27.4
"AUT Electricity, gas, steam and air conditioning supply",13249.4
"AUT Water collection, treatment and supply",12.8
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",83.9
AUT Construction,1999.5
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,244.8
"AUT Wholesale trade, except of motor vehicles and motorcycles",796.2
"AUT Retail trade, except of motor vehicles and motorcycles",639.1
AUT Land transport and transport via pipelines,3631.7
AUT Water transport,88.0
AUT Air transport,3353.8
AUT Warehousing and support activities for transportation,202.1
AUT Postal and courier activities,61.9
AUT Accommodation and food service activities,545.0
AUT Publishing activities,2.6
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",26.2
AUT Telecommunications,29.5
"AUT Computer programming, consultancy and related activities; information service activities",48.6
"AUT Financial service activities, except insurance and pension funding",135.7
"AUT Insurance, reinsurance and pension funding, except compulsory social security",15.5
AUT Activities auxiliary to financial services and insurance activities,34.0
AUT Real estate activities,132.3
AUT Legal and accounting activities; activities of head offices; management consultancy activities,0.0
AUT Architectural and engineering activities; technical testing and analysis,109.8
AUT Scientific research and development,37.9
AUT Advertising and market research,16.2
"AUT Other professional, scientific and technical activities; veterinary activities",31.3
AUT Administrative and support service activities,219.3
AUT Public administration and defence; compulsory social security,143.1
AUT Education,164.0
AUT Human health and social work activities,711.3
AUT Other service activities,568.9
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
AUT Activities of extraterritorial organizations and bodies,0.0
"AUS Crop and animal production, hunting and related service activities",5706.9
AUS Forestry and logging,802.4
AUS Fishing and aquaculture,31.7
AUS Mining and quarrying,14310.6
"AUS Manufacture of food products, beverages and tobacco products",3498.6
"AUS Manufacture of textiles, wearing apparel and leather products",524.3
"AUS Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",134.2
AUS Manufacture of paper and paper products,1545.4
AUS Printing and reproduction of recorded media,315.9
