,AUT,AUS,BEL,BGR,BRA,CAN,CHN,DEU,ESP,FRA,GBR,HUN,IDN,IND,IRL,ITA,JPN,KOR,MEX,NLD,NOR,POL,PRT,ROU,RUS,TUR,TWN,USA,REU,RoW
"AUT Crop and animal production, hunting and related service activities",5603.2,0.2,16.8,0.1,0.3,10.7,40.7,13.0,5.7,5.1,26.4,0.0,23.3,122.4,0.7,6.0,82.4,12.2,4.3,3.8,0.7,0.1,1.1,0.1,5.3,2.3,13.1,45.0,3.0,466.1
AUT Forestry and logging,190.2,0.0,0.0,0.0,0.0,0.2,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,5.0,0.3,0.2
AUT Fishing and aquaculture,575.0,0.0,0.0,0.0,0.1,0.0,11.5,0.1,0.2,8.2,0.0,0.0,0.4,0.0,0.0,1.3,41.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,27.2,0.0,30.2,0.1,0.9,187.4
AUT Mining and quarrying,5341.6,0.0,5.6,0.0,0.4,0.1,28.3,182.2,0.5,0.4,40.6,0.0,0.2,0.1,0.0,2.0,0.2,0.2,0.0,60.2,0.2,0.0,0.0,0.1,0.0,0.0,0.1,5.5,0.7,21.8
"AUT Manufacture of food products, beverages and tobacco products",19698.1,4.0,33.9,1.6,3.3,397.4,283.3,96.7,16.9,45.5,995.9,0.2,210.9,4.0,45.2,9.1,3109.3,691.0,61.3,61.3,16.7,2.8,0.8,2.5,121.9,1.3,255.9,1559.5,164.7,2519.0
"AUT Manufacture of textiles, wearing apparel and leather products",890.2,0.5,0.6,0.0,0.3,11.8,7.0,5.1,1.7,1.5,31.3,0.0,2.4,1.3,0.8,3.0,13.4,6.7,0.7,2.7,0.8,3.5,0.1,0.0,2.4,0.4,1.6,72.5,6.1,234.6
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",463.8,0.0,0.1,0.0,0.1,0.7,1.9,0.6,0.1,0.3,1.4,0.0,0.6,0.4,0.1,0.2,2.2,0.7,0.3,0.2,0.1,0.0,0.0,0.0,0.2,0.0,0.4,4.6,0.4,1.0
AUT Manufacture of paper and paper products,947.1,0.0,0.1,0.0,0.1,0.3,0.9,0.2,0.1,0.1,1.0,0.0,0.2,0.1,0.0,0.1,1.1,0.3,0.1,0.2,0.0,0.0,0.1,0.0,0.4,0.1,0.2,2.1,0.2,41.4
AUT Printing and reproduction of recorded media,228.1,0.0,0.0,0.0,0.0,0.5,0.8,0.2,0.1,0.2,1.2,0.0,0.3,0.1,0.1,0.1,2.2,0.5,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.2,3.2,0.2,-0.0
AUT Manufacture of coke and refined petroleum products ,5657.3,0.0,0.1,0.0,0.2,0.9,3.0,0.9,0.2,0.3,2.3,0.0,7.6,3.7,0.1,0.3,30.0,7.8,0.4,0.4,0.1,0.0,0.0,0.0,0.3,0.1,14.0,13.6,1.2,342.1
AUT Manufacture of chemicals and chemical products ,2194.1,0.2,0.9,0.0,0.6,2.3,22.2,5.3,0.8,2.3,24.2,0.2,4.2,1.8,0.5,0.9,19.7,11.9,1.2,3.3,2.5,0.6,0.1,0.1,0.9,0.3,7.0,39.6,6.6,140.8
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1237.1,2.1,1.8,0.0,15.8,32.8,37.3,37.0,16.8,28.0,18.9,0.1,5.1,0.4,12.7,14.2,4.8,60.3,31.2,5.4,0.8,5.1,2.9,0.1,0.2,0.0,79.9,155.3,29.1,441.2
AUT Manufacture of rubber and plastic products,1493.2,0.1,0.4,0.0,0.5,2.5,9.8,2.5,0.6,1.5,8.2,0.1,6.7,2.0,0.4,0.8,10.6,3.5,1.1,1.7,0.5,0.3,0.1,0.1,0.5,0.2,2.0,23.8,2.0,64.9
AUT Manufacture of other non-metallic mineral products,692.6,0.0,0.1,0.0,0.5,0.7,3.8,0.7,0.4,0.3,2.2,0.1,0.9,0.6,0.1,0.2,1.9,0.8,0.4,0.4,0.1,0.1,0.0,0.0,0.2,0.0,0.5,4.9,0.5,4.8
AUT Manufacture of basic metals,764.5,0.1,0.5,0.0,0.3,1.0,8.2,0.8,0.3,1.1,2.0,0.0,2.4,0.9,0.1,0.4,3.5,1.1,1.4,1.1,0.3,0.0,0.0,0.0,0.3,0.1,0.5,10.2,0.7,-0.0
"AUT Manufacture of fabricated metal products, except machinery and equipment",2783.3,0.4,5.6,0.1,1.2,3.8,19.4,4.7,1.0,10.0,10.3,0.2,11.8,5.0,0.5,1.9,17.8,5.9,15.9,1.7,1.5,0.3,0.1,0.2,1.1,0.4,2.5,57.6,3.6,147.5
"AUT Manufacture of computer, electronic and optical products",2386.3,2.6,2.5,0.3,8.0,28.0,55.5,54.9,3.5,10.6,38.9,0.7,7.9,12.5,1.8,13.3,32.2,38.0,3.1,0.7,2.3,1.4,0.5,1.1,2.1,3.6,14.9,150.2,26.7,508.4
AUT Manufacture of electrical equipment,2615.8,1.6,0.6,0.1,2.3,7.4,18.6,7.4,1.9,4.1,22.1,0.2,7.8,4.4,1.3,3.3,7.6,11.2,5.1,0.7,0.8,0.8,0.8,0.2,0.9,0.8,4.1,40.6,5.2,198.1
AUT Manufacture of machinery and equipment n.e.c.,4328.5,1.4,1.9,0.5,5.5,18.8,122.2,13.7,3.8,4.2,32.8,1.2,48.4,24.2,1.3,6.9,12.9,15.7,14.3,3.3,5.6,0.8,0.4,1.2,8.1,2.5,11.5,111.1,11.1,364.4
"AUT Manufacture of motor vehicles, trailers and semi-trailers",8465.8,0.6,0.4,0.0,6.3,2.0,34.9,10.2,0.6,2.2,21.7,0.1,20.3,2.1,0.4,12.2,7.3,45.5,1.3,12.0,0.6,0.2,0.1,0.1,1.2,0.3,1.9,275.9,8.9,1925.7
AUT Manufacture of other transport equipment,3363.4,0.1,0.7,0.0,0.3,9.1,8.4,5.9,3.1,1.9,33.5,0.0,34.6,15.5,1.1,10.3,1.3,1.2,0.8,2.8,0.6,0.1,0.3,0.0,0.2,1.1,1.5,56.0,8.7,143.7
AUT Manufacture of furniture; other manufacturing,2242.2,1.2,1.1,0.1,0.8,9.4,23.4,13.9,1.9,19.4,19.3,0.3,2.7,5.1,2.6,2.3,33.8,3.4,3.5,4.7,1.3,0.7,0.4,0.2,0.6,0.4,1.2,221.5,8.5,131.1
AUT Repair and installation of machinery and equipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AUT Electricity, gas, steam and air conditioning supply",9937.0,0.1,0.3,0.0,0.0,0.5,1.3,1.4,0.0,0.0,0.6,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,2.3
"AUT Water collection, treatment and supply",4576.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.8
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",676.9,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
AUT Construction,118127.6,0.1,0.4,0.0,2.9,1.5,35.0,1.2,1.0,1.1,3.2,0.0,1.5,1.2,0.2,1.1,5.4,1.8,0.3,2.5,0.3,0.1,0.0,0.0,0.3,0.0,1.1,15.7,2.7,55.4
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,5147.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,3.7
"AUT Wholesale trade, except of motor vehicles and motorcycles",37103.0,3.6,8.3,0.5,12.3,77.8,127.5,65.3,12.1,27.4,154.9,0.9,45.1,31.3,11.5,17.9,308.9,107.7,22.0,16.3,5.2,3.5,1.7,1.2,16.7,3.2,64.8,395.2,47.0,386.6
"AUT Retail trade, except of motor vehicles and motorcycles",50659.7,0.8,2.6,0.1,2.6,27.9,32.0,14.0,2.9,7.2,61.8,0.2,15.0,6.0,3.8,3.4,157.3,41.2,6.2,5.2,1.4,0.9,0.4,0.3,7.0,0.5,19.9,131.1,13.8,103.1
AUT Land transport and transport via pipelines,12008.8,6.3,9.1,0.4,9.3,62.4,101.5,51.2,9.2,22.9,136.0,0.8,41.2,26.0,10.0,13.7,289.2,90.0,18.2,13.5,4.1,2.8,1.3,0.9,15.6,3.2,52.5,325.8,47.5,491.5
AUT Water transport,11.6,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.4
AUT Air transport,693.4,0.2,0.4,0.0,1.2,1.0,1.0,1.1,0.4,0.5,3.8,0.0,3.7,1.8,0.1,1.3,0.8,0.4,0.1,0.5,0.2,0.0,0.0,0.0,0.0,0.1,0.2,8.4,2.0,38.8
AUT Warehousing and support activities for transportation,5889.7,13.3,23.3,0.0,1.2,4.2,2.5,43.0,3.3,19.4,24.5,1.2,11.3,15.3,0.2,9.4,55.7,23.5,0.4,2.6,13.2,0.2,0.5,0.0,0.6,1.0,4.2,7.7,35.1,520.6
AUT Postal and courier activities,5.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
AUT Accommodation and food service activities,33758.3,6.6,5.0,0.0,4.3,45.6,87.0,14.2,0.5,0.0,254.6,0.4,41.3,0.0,54.1,11.9,194.4,14.7,0.0,0.2,0.0,0.0,0.3,0.1,0.0,0.0,56.2,0.4,51.8,1154.1
AUT Publishing activities,4054.2,0.5,0.8,0.0,1.1,0.0,0.9,5.8,2.8,1.7,10.1,0.0,0.2,0.0,0.0,1.8,0.5,0.2,0.0,17.2,0.3,0.1,0.2,0.1,0.0,0.0,0.3,40.2,2.8,289.9
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",2304.7,0.5,0.5,0.0,6.3,3.0,0.1,2.0,0.6,1.9,31.8,0.6,20.4,0.0,0.0,1.9,5.0,5.4,0.3,2.1,0.9,0.2,0.1,0.1,0.0,0.0,7.7,28.7,2.3,117.9
AUT Telecommunications,10957.6,0.1,1.2,0.0,1.3,0.5,32.1,1.0,3.3,1.2,19.9,0.1,1.8,2.5,3.7,2.9,2.7,2.2,1.2,4.5,0.1,0.1,0.1,0.2,1.7,1.3,4.7,0.7,3.3,147.1
"AUT Computer programming, consultancy and related activities; information service activities",9486.1,0.0,0.0,0.0,2.7,0.3,5.9,0.3,2.0,0.2,0.6,0.0,0.0,0.0,0.0,0.1,0.6,0.1,0.0,1.0,0.2,0.1,0.0,0.0,0.0,0.1,0.1,2.0,2.2,245.8
"AUT Financial service activities, except insurance and pension funding",21314.1,0.1,0.1,0.0,2.4,0.2,5.3,0.1,1.8,0.2,14.5,0.0,1.5,0.0,0.7,0.1,1.1,0.8,0.0,1.1,0.1,0.0,0.0,0.0,0.0,1.1,0.0,0.6,0.7,217.7
"AUT Insurance, reinsurance and pension funding, except compulsory social security",24817.2,0.1,0.2,0.0,0.3,1.3,2.6,1.4,0.3,0.7,4.8,0.1,1.3,0.8,3.2,0.6,7.0,1.9,0.5,0.6,0.1,0.1,0.0,0.0,0.3,0.2,1.2,45.6,1.4,30.5
AUT Activities auxiliary to financial services and insurance activities,1976.8,0.0,0.7,0.0,0.2,0.0,0.4,0.1,0.3,0.0,3.6,0.0,0.1,0.0,0.0,0.1,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,67.3
AUT Real estate activities,74296.1,0.1,0.0,0.0,6.0,0.1,0.0,7.2,0.1,0.0,11.9,0.0,31.3,0.0,0.0,5.2,0.1,0.6,0.0,20.9,0.1,0.1,0.0,0.0,0.0,0.0,2.5,0.0,0.1,76.3
AUT Legal and accounting activities; activities of head offices; management consultancy activities,15477.8,0.3,3.6,0.0,8.0,0.8,641.3,3.7,13.9,10.4,3.2,0.1,4.3,1.8,0.1,10.6,0.3,0.9,0.0,32.1,4.7,0.3,0.2,0.3,0.0,0.0,1.8,75.6,12.5,612.4
AUT Architectural and engineering activities; technical testing and analysis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT Scientific research and development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT Advertising and market research,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AUT Other professional, scientific and technical activities; veterinary activities",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT Administrative and support service activities,3811.0,0.2,0.1,0.0,42.4,0.4,0.4,0.7,1.5,2.1,2.9,0.0,0.3,0.0,0.7,4.3,1.1,1.2,0.0,5.0,0.2,0.0,0.1,0.0,0.0,0.0,0.3,108.6,24.0,121.4
AUT Public administration and defence; compulsory social security,64124.0,0.1,0.0,0.0,0.2,0.1,8.0,1.0,0.2,0.1,0.1,0.2,3.8,0.0,0.0,0.1,6.6,0.1,0.0,0.5,6.8,0.0,0.0,0.0,0.1,5.0,0.0,1.7,0.8,36.9
AUT Education,38254.4,1.8,0.2,0.5,3.4,73.8,28.4,0.1,0.2,0.1,16.8,0.9,42.6,117.2,0.0,5.0,1.5,0.8,0.0,6.1,0.1,5.7,0.0,0.1,2.5,0.0,1.4,55.4,8.6,1027.3
AUT Human health and social work activities,55489.9,2.8,0.0,0.0,0.0,2.1,1.9,0.0,0.0,0.7,3.4,0.0,15.3,0.1,0.0,0.3,0.2,0.0,0.0,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,11.8,0.7,175.9
AUT Other service activities,16862.0,0.3,0.1,0.0,0.6,83.4,110.6,0.6,5.5,0.1,76.0,0.4,9.1,20.3,0.8,1.1,2.2,1.0,0.0,0.4,0.1,0.2,0.0,0.0,0.0,0.7,1.7,0.6,3.5,20.0
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,6291.2,0.0,0.0,0.0,0.0,5.3,7.0,0.0,0.4,0.0,4.9,0.0,0.5,1.3,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,-1.9
AUT Activities of extraterritorial organizations and bodies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AUS Crop and animal production, hunting and related service activities",1.7,1251.0,4.2,2.0,1.0,1.2,0.2,126.3,6.0,7.1,15.6,26.0,0.1,0.1,1.4,57.5,3.3,1.6,0.6,7.4,1.6,9.1,0.4,21.7,9.6,0.9,0.1,22.8,93.4,19.6
AUS Forestry and logging,0.0,397.6,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
AUS Fishing and aquaculture,0.0,1.2,0.1,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
