Unnamed: 0,0
"AUT Crop and animal production, hunting and related service activities",1745.8
AUT Forestry and logging,0.0
AUT Fishing and aquaculture,0.0
AUT Mining and quarrying,973.4
"AUT Manufacture of food products, beverages and tobacco products",1197.8
"AUT Manufacture of textiles, wearing apparel and leather products",259.2
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",572.7
AUT Manufacture of paper and paper products,1456.5
AUT Printing and reproduction of recorded media,43.5
AUT Manufacture of coke and refined petroleum products ,454.7
AUT Manufacture of chemicals and chemical products ,1839.0
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,3.9
AUT Manufacture of rubber and plastic products,208.2
AUT Manufacture of other non-metallic mineral products,4940.6
AUT Manufacture of basic metals,17481.1
"AUT Manufacture of fabricated metal products, except machinery and equipment",311.5
"AUT Manufacture of computer, electronic and optical products",42.1
AUT Manufacture of electrical equipment,156.3
AUT Manufacture of machinery and equipment n.e.c.,199.1
"AUT Manufacture of motor vehicles, trailers and semi-trailers",162.8
AUT Manufacture of other transport equipment,9.0
AUT Manufacture of furniture; other manufacturing,199.6
AUT Repair and installation of machinery and equipment,32.6
"AUT Electricity, gas, steam and air conditioning supply",11995.0
"AUT Water collection, treatment and supply",22.4
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",83.1
AUT Construction,3560.1
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,429.7
"AUT Wholesale trade, except of motor vehicles and motorcycles",1412.4
"AUT Retail trade, except of motor vehicles and motorcycles",1051.0
AUT Land transport and transport via pipelines,2560.2
AUT Water transport,129.1
AUT Air transport,4731.2
AUT Warehousing and support activities for transportation,73.6
AUT Postal and courier activities,114.2
AUT Accommodation and food service activities,936.2
AUT Publishing activities,2.9
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",26.7
AUT Telecommunications,33.7
"AUT Computer programming, consultancy and related activities; information service activities",76.9
"AUT Financial service activities, except insurance and pension funding",225.5
"AUT Insurance, reinsurance and pension funding, except compulsory social security",26.1
AUT Activities auxiliary to financial services and insurance activities,41.2
AUT Real estate activities,180.9
AUT Legal and accounting activities; activities of head offices; management consultancy activities,0.0
AUT Architectural and engineering activities; technical testing and analysis,107.2
AUT Scientific research and development,14.9
AUT Advertising and market research,50.1
"AUT Other professional, scientific and technical activities; veterinary activities",55.1
AUT Administrative and support service activities,281.5
