Unnamed: 0,0
"AUT Crop and animal production, hunting and related service activities",1666.4
AUT Forestry and logging,0.0
AUT Fishing and aquaculture,0.0
AUT Mining and quarrying,899.9
"AUT Manufacture of food products, beverages and tobacco products",1358.5
"AUT Manufacture of textiles, wearing apparel and leather products",215.6
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",580.3
AUT Manufacture of paper and paper products,1447.5
AUT Printing and reproduction of recorded media,36.5
AUT Manufacture of coke and refined petroleum products ,426.3
AUT Manufacture of chemicals and chemical products ,1908.5
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,3.6
AUT Manufacture of rubber and plastic products,156.6
AUT Manufacture of other non-metallic mineral products,4998.8
AUT Manufacture of basic metals,18984.6
"AUT Manufacture of fabricated metal products, except machinery and equipment",283.9
"AUT Manufacture of computer, electronic and optical products",34.9
AUT Manufacture of electrical equipment,157.7
AUT Manufacture of machinery and equipment n.e.c.,184.3
"AUT Manufacture of motor vehicles, trailers and semi-trailers",125.7
AUT Manufacture of other transport equipment,10.5
AUT Manufacture of furniture; other manufacturing,164.3
AUT Repair and installation of machinery and equipment,29.3
"AUT Electricity, gas, steam and air conditioning supply",11570.6
"AUT Water collection, treatment and supply",16.9
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",81.7
AUT Construction,3386.9
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,386.8
"AUT Wholesale trade, except of motor vehicles and motorcycles",1354.6
"AUT Retail trade, except of motor vehicles and motorcycles",1013.4
AUT Land transport and transport via pipelines,2640.1
AUT Water transport,133.6
AUT Air transport,6068.2
AUT Warehousing and support activities for transportation,82.4
AUT Postal and courier activities,99.5
AUT Accommodation and food service activities,825.8
AUT Publishing activities,2.4
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",24.6
AUT Telecommunications,27.7
"AUT Computer programming, consultancy and related activities; information service activities",69.6
"AUT Financial service activities, except insurance and pension funding",185.6
"AUT Insurance, reinsurance and pension funding, except compulsory social security",21.2
AUT Activities auxiliary to financial services and insurance activities,41.8
AUT Real estate activities,170.5
AUT Legal and accounting activities; activities of head offices; management consultancy activities,0.0
AUT Architectural and engineering activities; technical testing and analysis,89.4
AUT Scientific research and development,14.5
AUT Advertising and market research,41.4
"AUT Other professional, scientific and technical activities; veterinary activities",46.3
AUT Administrative and support service activities,262.9
AUT Public administration and defence; compulsory social security,247.5
AUT Education,200.2
AUT Human health and social work activities,795.5
AUT Other service activities,626.7
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
AUT Activities of extraterritorial organizations and bodies,0.0
