Unnamed: 0,"AUT Crop and animal production, hunting and related service activities",AUT Forestry and logging,AUT Fishing and aquaculture,AUT Mining and quarrying,"AUT Manufacture of food products, beverages and tobacco products","AUT Manufacture of textiles, wearing apparel and leather products","AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",AUT Manufacture of paper and paper products,AUT Printing and reproduction of recorded media,AUT Manufacture of coke and refined petroleum products ,AUT Manufacture of chemicals and chemical products ,AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,AUT Manufacture of rubber and plastic products,AUT Manufacture of other non-metallic mineral products,AUT Manufacture of basic metals,"AUT Manufacture of fabricated metal products, except machinery and equipment","AUT Manufacture of computer, electronic and optical products",AUT Manufacture of electrical equipment,AUT Manufacture of machinery and equipment n.e.c.,"AUT Manufacture of motor vehicles, trailers and semi-trailers",AUT Manufacture of other transport equipment,AUT Manufacture of furniture; other manufacturing,"AUT Electricity, gas, steam and air conditioning supply","AUT Water collection, treatment and supply","AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",AUT Construction,AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,"AUT Wholesale trade, except of motor vehicles and motorcycles","AUT Retail trade, except of motor vehicles and motorcycles",AUT Land transport and transport via pipelines,AUT Water transport,AUT Air transport,AUT Warehousing and support activities for transportation,AUT Postal and courier activities,AUT Accommodation and food service activities,AUT Publishing activities,"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",AUT Telecommunications,"AUT Computer programming, consultancy and related activities; information service activities","AUT Financial service activities, except insurance and pension funding","AUT Insurance, reinsurance and pension funding, except compulsory social security",AUT Activities auxiliary to financial services and insurance activities,AUT Real estate activities,AUT Legal and accounting activities; activities of head offices; management consultancy activities,AUT Administrative and support service activities,AUT Public administration and defence; compulsory social security,AUT Education,AUT Human health and social work activities,AUT Other service activities,AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
"AUT Crop and animal production, hunting and related service activities",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT Forestry and logging,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT Fishing and aquaculture,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT Mining and quarrying,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AUT Manufacture of food products, beverages and tobacco products",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AUT Manufacture of textiles, wearing apparel and leather products",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT Manufacture of paper and paper products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT Printing and reproduction of recorded media,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT Manufacture of coke and refined petroleum products ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
