Unnamed: 0,Total Output Scenario 1
"AUT Crop and animal production, hunting and related service activities",7.3505033233784e+17
AUT Forestry and logging,9.98104045460317e+16
AUT Fishing and aquaculture,2.4265454897511936e+16
AUT Mining and quarrying,2.1794652687486313e+18
"AUT Manufacture of food products, beverages and tobacco products",7.453804301698557e+17
"AUT Manufacture of textiles, wearing apparel and leather products",9.905810944953928e+16
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2.545689130224609e+17
AUT Manufacture of paper and paper products,2.9534315850221274e+17
AUT Printing and reproduction of recorded media,4.1786868312306605e+17
AUT Manufacture of coke and refined petroleum products ,9.388957922409536e+17
AUT Manufacture of chemicals and chemical products ,6.038858849022753e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.2869095111275718e+17
AUT Manufacture of rubber and plastic products,4.0891203537207034e+17
AUT Manufacture of other non-metallic mineral products,4.084273786518939e+17
AUT Manufacture of basic metals,1.122358614218047e+18
"AUT Manufacture of fabricated metal products, except machinery and equipment",6.943898261374409e+17
"AUT Manufacture of computer, electronic and optical products",1.4419462214762467e+17
AUT Manufacture of electrical equipment,1.3955618580422386e+17
AUT Manufacture of machinery and equipment n.e.c.,2.3345642255828787e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",3.68270899553747e+17
AUT Manufacture of other transport equipment,2.5085332101785446e+17
AUT Manufacture of furniture; other manufacturing,1.1520191261962234e+17
"AUT Electricity, gas, steam and air conditioning supply",1.4194332648094323e+18
"AUT Water collection, treatment and supply",3.931627871289115e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",1.1309084050962058e+17
AUT Construction,3.5527055147202263e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,5.126949047226474e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",2.099592265299668e+18
"AUT Retail trade, except of motor vehicles and motorcycles",7.357104060876938e+17
AUT Land transport and transport via pipelines,1.0382152817920801e+18
AUT Water transport,2.7999264035644102e+17
AUT Air transport,1.2345634956851676e+18
AUT Warehousing and support activities for transportation,1.571286769717271e+18
AUT Postal and courier activities,6.465581662904315e+17
AUT Accommodation and food service activities,6.066985945813554e+17
AUT Publishing activities,4.7258687813834125e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",8.460356705206551e+17
AUT Telecommunications,1.838189427771182e+18
"AUT Computer programming, consultancy and related activities; information service activities",2.1645731308204298e+18
"AUT Financial service activities, except insurance and pension funding",3.9236071963536143e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",5.445690250598688e+17
AUT Activities auxiliary to financial services and insurance activities,3.840126350393099e+18
AUT Real estate activities,3.0196318232825984e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,6.179872628073563e+18
AUT Administrative and support service activities,4.4052116295075287e+18
AUT Public administration and defence; compulsory social security,8.626938788078665e+17
AUT Education,3.4505764517924096e+17
AUT Human health and social work activities,7.046356746423787e+16
AUT Other service activities,1.2043392699174372e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,7.0571866382702024e+16
