Unnamed: 0,Total Output
"AUT Crop and animal production, hunting and related service activities",9.75042622090432e+17
AUT Forestry and logging,1.681649231435219e+17
AUT Fishing and aquaculture,3.3201607767252844e+16
AUT Mining and quarrying,2.0830867684469594e+18
"AUT Manufacture of food products, beverages and tobacco products",9.813505644437088e+17
"AUT Manufacture of textiles, wearing apparel and leather products",1.056656896121504e+17
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",4.173287776443322e+17
AUT Manufacture of paper and paper products,4.1408903525416954e+17
AUT Printing and reproduction of recorded media,5.423581773375283e+17
AUT Manufacture of coke and refined petroleum products ,1.5580736509235297e+18
AUT Manufacture of chemicals and chemical products ,9.854749014936785e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.6448029334048458e+17
AUT Manufacture of rubber and plastic products,6.857071825454557e+17
AUT Manufacture of other non-metallic mineral products,5.969257650474787e+17
AUT Manufacture of basic metals,2.0033448300814925e+18
"AUT Manufacture of fabricated metal products, except machinery and equipment",1.0637342934444438e+18
"AUT Manufacture of computer, electronic and optical products",2.279548261180015e+17
AUT Manufacture of electrical equipment,1.9441100914982752e+17
AUT Manufacture of machinery and equipment n.e.c.,3.596716969602273e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",4.864134689258979e+17
AUT Manufacture of other transport equipment,3.748928533912205e+17
AUT Manufacture of furniture; other manufacturing,1.5801982672962128e+17
"AUT Electricity, gas, steam and air conditioning supply",1.4643084613120653e+18
"AUT Water collection, treatment and supply",5.074281167936117e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",7.872788731656058e+16
AUT Construction,3.1979766828954163e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,7.256526259308065e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",2.747065923746108e+18
"AUT Retail trade, except of motor vehicles and motorcycles",7.985354144421059e+17
AUT Land transport and transport via pipelines,1.0848033134748996e+18
AUT Water transport,4.0361061961261485e+17
AUT Air transport,1.300561650218307e+18
AUT Warehousing and support activities for transportation,1.7697493952049452e+18
AUT Postal and courier activities,7.174988371262913e+17
AUT Accommodation and food service activities,6.647418691096151e+17
AUT Publishing activities,6.043426085956545e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",1.0886865691131634e+18
AUT Telecommunications,1.7153102580171497e+18
"AUT Computer programming, consultancy and related activities; information service activities",1.969707778747283e+18
"AUT Financial service activities, except insurance and pension funding",3.0123523746143273e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",4.180337549766406e+17
AUT Activities auxiliary to financial services and insurance activities,7.2936528049533e+18
AUT Real estate activities,3.5819348791786163e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,5.741751246839538e+18
AUT Administrative and support service activities,4.818267480829789e+18
AUT Public administration and defence; compulsory social security,9.544457666014442e+17
AUT Education,3.833292606903615e+17
AUT Human health and social work activities,5.008623648732945e+16
AUT Other service activities,1.3999257249318374e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,1.1023711852859304e+17
