Unnamed: 0,AUT
"AUT Crop and animal production, hunting and related service activities",3361.4
AUT Forestry and logging,113.9
AUT Fishing and aquaculture,345.5
AUT Mining and quarrying,1188.2
"AUT Manufacture of food products, beverages and tobacco products",11842.3
"AUT Manufacture of textiles, wearing apparel and leather products",987.0
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",286.1
AUT Manufacture of paper and paper products,580.4
AUT Printing and reproduction of recorded media,146.9
AUT Manufacture of coke and refined petroleum products ,3489.5
AUT Manufacture of chemicals and chemical products ,1154.2
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,989.7
AUT Manufacture of rubber and plastic products,874.8
AUT Manufacture of other non-metallic mineral products,388.5
AUT Manufacture of basic metals,441.0
"AUT Manufacture of fabricated metal products, except machinery and equipment",1701.7
"AUT Manufacture of computer, electronic and optical products",1296.5
AUT Manufacture of electrical equipment,1481.0
AUT Manufacture of machinery and equipment n.e.c.,2679.8
"AUT Manufacture of motor vehicles, trailers and semi-trailers",5161.0
AUT Manufacture of other transport equipment,1174.9
AUT Manufacture of furniture; other manufacturing,1488.6
AUT Repair and installation of machinery and equipment,0.0
"AUT Electricity, gas, steam and air conditioning supply",5412.4
"AUT Water collection, treatment and supply",2644.9
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",426.0
AUT Construction,54985.3
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,3023.3
"AUT Wholesale trade, except of motor vehicles and motorcycles",21541.7
"AUT Retail trade, except of motor vehicles and motorcycles",28163.2
AUT Land transport and transport via pipelines,5326.4
AUT Water transport,4.6
AUT Air transport,234.5
AUT Warehousing and support activities for transportation,2655.2
AUT Postal and courier activities,2.3
AUT Accommodation and food service activities,18052.0
AUT Publishing activities,2393.9
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",1288.6
AUT Telecommunications,6414.7
"AUT Computer programming, consultancy and related activities; information service activities",5384.2
"AUT Financial service activities, except insurance and pension funding",9983.8
"AUT Insurance, reinsurance and pension funding, except compulsory social security",11877.7
AUT Activities auxiliary to financial services and insurance activities,990.8
AUT Real estate activities,41339.2
AUT Legal and accounting activities; activities of head offices; management consultancy activities,7250.2
AUT Architectural and engineering activities; technical testing and analysis,0.0
AUT Scientific research and development,0.0
AUT Advertising and market research,0.0
"AUT Other professional, scientific and technical activities; veterinary activities",0.0
AUT Administrative and support service activities,1938.3
AUT Public administration and defence; compulsory social security,35922.5
AUT Education,20949.9
AUT Human health and social work activities,27983.4
AUT Other service activities,10032.7
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,3673.9
AUT Activities of extraterritorial organizations and bodies,0.0
