Unnamed: 0,"AUT Crop and animal production, hunting and related service activities",AUT Forestry and logging,AUT Fishing and aquaculture,AUT Mining and quarrying,"AUT Manufacture of food products, beverages and tobacco products","AUT Manufacture of textiles, wearing apparel and leather products","AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",AUT Manufacture of paper and paper products,AUT Printing and reproduction of recorded media,AUT Manufacture of coke and refined petroleum products ,AUT Manufacture of chemicals and chemical products ,AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,AUT Manufacture of rubber and plastic products,AUT Manufacture of other non-metallic mineral products,AUT Manufacture of basic metals,"AUT Manufacture of fabricated metal products, except machinery and equipment","AUT Manufacture of computer, electronic and optical products",AUT Manufacture of electrical equipment,AUT Manufacture of machinery and equipment n.e.c.,"AUT Manufacture of motor vehicles, trailers and semi-trailers",AUT Manufacture of other transport equipment,AUT Manufacture of furniture; other manufacturing,AUT Repair and installation of machinery and equipment,"AUT Electricity, gas, steam and air conditioning supply","AUT Water collection, treatment and supply","AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",AUT Construction,AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,"AUT Wholesale trade, except of motor vehicles and motorcycles","AUT Retail trade, except of motor vehicles and motorcycles",AUT Land transport and transport via pipelines,AUT Water transport,AUT Air transport,AUT Warehousing and support activities for transportation,AUT Postal and courier activities,AUT Accommodation and food service activities,AUT Publishing activities,"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",AUT Telecommunications,"AUT Computer programming, consultancy and related activities; information service activities","AUT Financial service activities, except insurance and pension funding","AUT Insurance, reinsurance and pension funding, except compulsory social security",AUT Activities auxiliary to financial services and insurance activities,AUT Real estate activities,AUT Legal and accounting activities; activities of head offices; management consultancy activities,AUT Architectural and engineering activities; technical testing and analysis,AUT Scientific research and development,AUT Advertising and market research,"AUT Other professional, scientific and technical activities; veterinary activities",AUT Administrative and support service activities,AUT Public administration and defence; compulsory social security,AUT Education,AUT Human health and social work activities,AUT Other service activities,AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,AUT Activities of extraterritorial organizations and bodies
"AUT Crop and animal production, hunting and related service activities",7285.1,231.3,79.1,29.1,14219.2,330.2,2.4,1.4,1.1,2.1,95.5,7.6,46.0,3.2,7.4,3.7,1.3,0.6,1.1,3.4,1.0,4.3,0.0,5.2,8.5,0.1,269.2,5.0,215.2,525.0,14.7,0.9,3.8,19.0,2.4,710.8,1.7,59.0,14.9,10.8,9.2,3.8,2.5,137.7,46.8,0.0,0.0,0.0,0.0,174.0,75.5,44.3,60.3,227.9,12.5,0.0
AUT Forestry and logging,93.6,49.7,1.1,4.2,0.9,0.1,1126.1,209.6,2.9,2.5,111.4,18.2,25.2,0.3,3.0,0.4,0.2,0.1,0.2,0.7,0.1,22.7,0.0,0.6,0.2,0.0,38.1,0.4,4.9,3.0,3.3,0.0,1.1,2.5,0.3,2.4,0.7,0.4,1.5,1.1,0.9,0.5,0.6,6.3,4.3,0.0,0.0,0.0,0.0,4.9,2.1,0.7,0.6,1.9,0.3,0.0
AUT Fishing and aquaculture,15.3,0.0,11.6,0.7,415.0,29.8,0.2,0.1,0.2,0.4,0.2,0.2,0.2,0.2,0.3,0.3,0.1,0.1,0.1,0.5,0.1,4.4,0.0,0.3,0.1,0.0,4.9,0.3,11.3,121.0,0.3,0.0,0.7,1.4,0.1,429.4,0.5,0.2,0.5,0.8,0.6,0.1,0.4,2.0,3.0,0.0,0.0,0.0,0.0,2.1,3.9,0.5,0.5,11.4,0.2,0.0
AUT Mining and quarrying,25.3,0.4,0.4,2148.0,86.1,4.9,9.5,14.0,4.8,8335.7,277.2,10.2,7.9,430.3,9855.1,26.2,7.2,11.7,18.4,19.8,5.9,4.8,0.0,1062.9,14.6,0.2,298.4,11.7,952.8,68.9,106.1,1.2,6.4,25.2,4.2,57.6,5.7,10.4,30.7,39.4,3.7,1.8,11.6,62.6,154.7,0.0,0.0,0.0,0.0,48.8,54.9,14.2,24.5,33.7,5.3,0.0
"AUT Manufacture of food products, beverages and tobacco products",1150.2,9.7,63.1,68.3,7750.9,244.9,11.4,13.6,10.0,15.1,208.1,95.9,52.0,14.1,21.9,21.4,13.7,8.2,19.3,42.7,15.8,18.6,0.0,16.5,24.1,5.8,196.1,68.7,540.5,2633.2,31.0,2.2,15.7,28.6,17.4,6695.2,17.2,39.1,84.5,70.4,37.8,1.8,5.0,75.3,174.5,0.0,0.0,0.0,0.0,115.3,329.1,195.6,245.3,519.2,64.5,0.0
"AUT Manufacture of textiles, wearing apparel and leather products",38.3,6.7,10.3,34.8,105.3,795.2,15.6,20.4,25.3,4.7,36.7,7.7,64.5,16.4,27.9,46.9,13.2,8.3,14.8,53.6,26.4,89.6,0.0,16.8,5.2,5.5,225.7,28.6,141.5,89.0,39.2,2.2,12.1,27.2,13.4,138.3,17.5,13.3,31.8,26.1,3.7,0.2,0.6,22.3,45.9,0.0,0.0,0.0,0.0,48.6,134.5,54.7,155.6,96.6,47.6,0.0
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",34.1,12.3,14.4,38.6,47.5,27.3,827.6,41.0,16.7,9.3,11.1,3.8,29.9,18.0,23.1,203.4,6.9,5.7,17.3,23.1,89.1,529.7,0.0,4.6,24.9,0.6,3282.1,10.7,220.8,191.1,32.3,1.2,3.8,66.6,8.1,37.0,10.6,22.3,33.5,10.2,1.5,0.2,0.8,97.6,18.9,0.0,0.0,0.0,0.0,34.0,86.9,128.1,18.2,71.3,4.2,0.0
AUT Manufacture of paper and paper products,44.4,0.5,0.5,37.6,699.8,17.5,21.7,611.7,354.2,3.5,73.4,60.8,63.2,70.7,16.9,25.7,14.5,10.4,14.8,20.7,7.1,12.4,0.0,26.2,4.5,1.8,317.4,12.0,350.7,222.8,28.6,2.5,25.8,12.9,14.6,138.0,274.8,8.9,55.8,34.9,16.4,0.2,0.9,21.1,73.4,0.0,0.0,0.0,0.0,56.5,183.2,130.9,161.3,51.3,20.8,0.0
AUT Printing and reproduction of recorded media,17.3,2.0,0.9,47.5,169.7,19.8,12.3,143.5,101.0,3.0,42.2,16.2,33.6,30.6,24.0,37.3,15.3,14.6,39.6,46.8,11.2,13.8,0.0,38.2,8.8,5.5,275.7,24.4,730.3,851.9,29.1,2.6,7.9,11.4,52.7,187.9,171.4,105.4,209.0,194.0,50.5,1.0,1.2,86.5,243.6,0.0,0.0,0.0,0.0,236.0,563.2,263.4,78.6,276.6,57.5,0.0
AUT Manufacture of coke and refined petroleum products ,743.0,109.2,89.1,2287.5,120.6,9.6,51.2,36.8,13.7,713.9,387.6,10.8,164.6,81.7,181.5,73.6,12.7,14.0,21.3,48.8,19.4,12.2,0.0,170.8,236.5,70.4,1017.3,146.8,183.2,67.1,3108.5,189.2,1424.6,131.9,234.4,76.3,13.1,15.2,315.3,35.6,5.4,0.6,1.3,43.7,90.9,0.0,0.0,0.0,0.0,88.0,414.4,35.2,96.7,88.2,27.4,0.0
